component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,steel,43.78,50.4,EU,1,1,Low
connector,copper,42.3,63.0,Other,1,0,Medium
housing,glass,39.58,63.0,EU,1,0,Low
connector,glass,45.01,73.6,NA,0,1,High
housing,glass,68.2,43.8,APAC,0,1,Low
connector,glass,8.6,19.4,EU,0,0,Low
connector,steel,49.51,53.4,APAC,0,0,Medium
connector,steel,34.72,24.9,NA,0,1,High
pcb,aluminum,50.99,32.0,APAC,0,0,Medium
housing,copper,21.24,10.2,Other,1,0,Medium
pcb,steel,21.24,5.7,NA,1,0,Low
cell,copper,59.87,36.9,EU,0,1,Medium
cell,steel,30.29,32.0,NA,0,1,Low
cell,steel,95.13,32.3,APAC,1,1,Medium
pcb,plastic,55.6,43.8,EU,1,1,Low
housing,aluminum,45.01,17.4,EU,0,1,Medium
housing,plastic,38.07,20.2,Other,1,1,Low
cell,glass,51.27,44.7,EU,1,0,Medium
cell,aluminum,45.86,73.0,Other,1,0,Medium
cell,glass,46.19,20.9,EU,0,0,Low
connector,steel,42.93,20.2,APAC,1,1,Low
pcb,aluminum,35.39,17.4,EU,0,1,Low
cell,glass,21.24,34.4,NA,1,0,Medium
pcb,steel,57.8,13.0,NA,1,1,High
cell,copper,29.55,32.3,EU,1,0,Medium
cell,aluminum,44.65,11.8,EU,0,1,Medium
connector,steel,51.77,13.0,EU,0,0,Low
cell,plastic,58.32,10.2,APAC,0,1,Medium
pcb,copper,27.44,41.0,Other,1,0,Medium
pcb,glass,51.89,35.0,EU,1,0,Medium
pcb,aluminum,42.05,51.6,EU,0,0,Medium
cell,aluminum,35.91,51.7,EU,0,0,Medium
housing,copper,49.51,15.4,NA,1,1,Low
pcb,aluminum,95.19,73.5,NA,0,1,Medium
pcb,steel,62.13,53.2,EU,1,1,High
housing,glass,36.95,34.4,APAC,0,1,Medium
pcb,steel,47.64,41.4,NA,0,1,Medium
pcb,copper,43.82,24.6,APAC,1,0,Low
housing,plastic,48.04,32.0,Other,0,0,Low
cell,aluminum,57.98,12.3,APAC,0,1,Low
cell,plastic,62.8,25.5,EU,0,0,Medium
connector,copper,82.96,25.4,EU,0,0,Medium
housing,glass,38.05,24.4,APAC,1,1,Medium
pcb,plastic,40.13,30.2,EU,0,1,High
housing,steel,14.88,19.4,NA,0,0,Medium
housing,plastic,38.07,24.9,EU,0,1,High
cell,aluminum,79.33,14.2,EU,1,0,Medium
cell,plastic,63.88,2.1,APAC,1,1,Medium
pcb,aluminum,23.87,0.0,NA,1,0,Medium
connector,steel,83.19,7.9,EU,1,1,Low
connector,steel,71.37,20.1,EU,0,1,High
housing,glass,67.05,62.5,EU,0,0,Low
housing,copper,76.04,51.9,APAC,1,1,Medium
pcb,steel,48.77,21.3,APAC,1,1,Medium
pcb,copper,89.12,20.1,Other,0,0,Medium
connector,glass,16.04,53.6,NA,1,1,Low
housing,glass,49.69,53.2,EU,1,0,Medium
connector,copper,42.3,58.2,NA,0,0,Medium
pcb,copper,45.24,1.0,EU,1,1,Low
connector,plastic,49.69,32.3,EU,1,1,Medium
housing,copper,72.74,20.2,NA,1,0,Low
pcb,aluminum,45.55,51.6,NA,1,0,Medium
cell,glass,34.72,20.2,EU,1,0,Low
housing,glass,42.05,9.8,APAC,1,0,Medium
connector,steel,45.24,36.9,EU,0,1,Low
connector,aluminum,45.86,30.1,EU,1,1,Low
connector,aluminum,40.44,17.4,NA,1,1,Low
pcb,copper,46.19,18.3,APAC,0,1,Low
cell,steel,40.73,34.4,EU,1,0,Medium
cell,plastic,38.07,15.4,APAC,1,1,Low
housing,glass,67.6,20.4,APAC,0,1,Low
cell,glass,65.62,41.6,EU,1,0,Low
cell,copper,36.95,62.4,NA,0,1,Low
pcb,plastic,71.99,57.5,NA,1,0,Medium
housing,glass,44.65,30.5,NA,0,1,Medium
housing,glass,40.73,38.9,NA,1,0,Medium
connector,steel,33.73,73.6,EU,0,1,Medium
connector,glass,59.02,41.0,APAC,1,0,Medium
housing,aluminum,16.04,51.7,EU,1,1,High
housing,steel,51.95,3.6,EU,0,1,Medium
connector,aluminum,16.04,23.5,Other,1,1,Medium
cell,aluminum,37.25,50.0,NA,1,1,Low
housing,aluminum,89.12,39.5,APAC,0,0,High
cell,steel,51.77,13.0,EU,0,0,High
connector,aluminum,38.05,33.6,NA,0,1,Medium
housing,steel,37.25,62.5,APAC,0,1,Medium
cell,copper,25.72,2.9,APAC,1,1,Low
housing,copper,40.38,36.9,Other,0,0,High
housing,plastic,45.55,59.5,NA,0,0,Medium
housing,copper,59.63,38.5,EU,1,1,High
pcb,steel,49.69,58.2,NA,0,0,Low
pcb,aluminum,17.66,73.5,NA,1,0,Medium
cell,aluminum,26.32,34.1,EU,0,1,Medium
cell,aluminum,40.73,20.9,EU,0,0,Medium
housing,aluminum,18.34,53.4,NA,0,0,Medium
housing,glass,79.33,13.5,APAC,0,1,Low
cell,glass,44.65,43.8,EU,0,0,Medium
pcb,aluminum,51.95,30.1,Other,0,1,High
housing,glass,59.88,6.7,EU,1,0,Medium
connector,copper,8.6,52.4,EU,0,1,Low
housing,glass,56.99,18.3,APAC,1,1,Medium
pcb,copper,23.07,1.0,NA,1,1,Medium
housing,steel,49.15,23.3,Other,0,0,Low
housing,plastic,51.95,73.3,NA,1,1,High
cell,copper,59.87,43.8,EU,0,0,Low
housing,copper,23.87,43.2,Other,1,1,Medium
connector,aluminum,42.05,2.1,APAC,1,0,Low
pcb,steel,61.35,0.0,APAC,0,0,Medium
connector,steel,35.39,1.0,NA,1,1,Medium
connector,aluminum,83.19,24.6,APAC,1,1,Low
housing,aluminum,89.12,32.0,Other,1,0,Low
pcb,plastic,47.33,54.9,NA,1,0,Medium
housing,plastic,73.05,15.8,NA,1,0,Medium
connector,copper,26.22,21.3,NA,0,0,Medium
cell,steel,11.27,39.6,APAC,1,1,Medium
connector,copper,23.87,41.0,EU,1,0,Medium
pcb,aluminum,42.71,51.9,EU,0,1,Low
connector,glass,40.44,36.9,NA,0,1,Medium
cell,steel,62.18,26.7,EU,0,0,Medium
pcb,copper,62.18,23.1,EU,1,1,High
housing,plastic,50.08,38.5,EU,0,1,Medium
cell,copper,45.21,34.4,EU,1,0,Medium
connector,glass,26.88,53.6,NA,0,0,Low
housing,copper,26.88,19.0,NA,0,1,Low
housing,aluminum,61.66,43.6,APAC,1,1,Low
connector,steel,79.33,51.9,Other,0,1,Medium
housing,plastic,35.91,58.3,NA,1,0,Medium
cell,copper,71.37,35.0,EU,1,1,Medium
housing,aluminum,48.04,39.3,EU,0,0,Low
housing,glass,63.8,73.0,EU,1,1,Medium
housing,aluminum,63.33,23.9,NA,0,0,High
pcb,steel,55.49,32.0,EU,1,0,Medium
pcb,aluminum,17.66,50.4,EU,1,1,Low
connector,glass,27.46,38.5,NA,0,1,High
connector,copper,64.94,68.0,APAC,1,1,Low
housing,plastic,66.83,32.3,EU,1,0,Medium
pcb,plastic,63.54,33.6,EU,0,0,Medium
pcb,plastic,56.34,20.2,APAC,1,0,Medium
pcb,aluminum,50.99,18.3,EU,1,0,High
connector,copper,63.54,24.5,NA,0,1,Medium
cell,glass,36.21,65.3,EU,0,1,Medium
connector,aluminum,56.34,27.2,NA,1,0,Medium
pcb,copper,23.07,36.9,APAC,1,0,Medium
housing,aluminum,40.13,24.6,NA,0,1,Medium
housing,copper,61.57,67.8,APAC,1,1,Low
cell,plastic,80.73,73.0,NA,0,0,Medium
housing,steel,50.99,42.5,EU,0,1,High
connector,copper,20.56,58.3,NA,1,1,Medium
